"CardID" "R" "F" "M"
"C0100000199" 389 3 597
"C0100000343" 502 6 700.94
"C0100000375" 447 4 223.98
"C0100000482" 408 4 197.98
"C0100000689" 392 2 428
"C0100000789" 389 3 777
"C0100000915" 398 1 49
"C0100001116" 520 6 942.97
"C0100001139" 499 4 339.49
"C0100001156" 453 2 528
"C0100001244" 554 3 339.93
"C0100001405" 584 2 153.99
"C0100001916" 421 5 371.98
"C0100002002" 492 4 957.99
"C0100002206" 403 4 312.98
"C0100002536" 438 3 246.99
"C0100002691" 472 2 388
"C0100003019" 474 3 1312.99
"C0100003346" 447 4 491
"C0100003753" 586 1 124
"C0100003760" 654 1 99
"C0100004171" 398 2 12.98
"C0100004238" 574 1 349
"C0100004264" 390 5 459.99
"C0100004471" 511 8 421.94
"C0100004535" 490 2 438
"C0100005070" 451 3 96.98
"C0100005091" 521 3 103.49
"C0100005169" 401 25 695.27
"C0100005753" 440 2 348
"C0100006171" 514 2 648
"C0100006369" 466 2 548
"C0100006506" 399 3 252
"C0100006701" 394 2 248
"C0100006744" 522 13 1070.39
"C0100006844" 411 3 407
"C0100007186" 413 4 430.44
"C0100007941" 696 1 339
"C0100007981" 393 4 896.99
"C0100008596" 560 6 859.99
"C0100008975" 424 6 1459.98
"C0100009109" 416 4 337.47
"C0100009974" 404 4 253.99
"C0100010115" 463 4 306.99
"C0100010135" 417 5 618.98
"C0100010322" 445 3 367
"C0100010381" 397 3 357.99
"C0100010723" 629 3 86.97
"C0100010871" 541 3 268.94
"C0100010948" 514 3 192.95
"C0100011031" 489 2 323
"C0100011221" 398 3 147.99
"C0100011448" 468 3 318.98
"C0100011592" 477 3 172.99
"C0100011730" 419 3 357.99
"C0100011906" 451 3 477.95
"C0100012379" 480 1 129
"C0100012502" 658 2 208.99
"C0100013115" 588 1 149
"C0100014032" 396 16 548.86
"C0100014088" 433 2 288.99
"C0100014099" 454 2 128.99
"C0100014531" 426 2 273.99
"C0100014610" 395 4 160.97
"C0100014706" 433 8 893.98
"C0100015471" 393 2 338.99
"C0100015705" 638 2 158.99
"C0100015762" 409 4 313.98
"C0100015958" 405 3 352
"C0100016095" 389 4 294.99
"C0100016556" 409 3 507.99
"C0100016812" 416 9 1141.95
"C0100017888" 526 3 857
"C0100018295" 453 4 463.97
"C0100018557" 504 1 109
"C0100018670" 401 3 467
"C0100018798" 416 3 252.99
"C0100018896" 521 1 129
"C0100019102" 427 4 431
"C0100019643" 511 3 337.99
"C0100019754" 512 3 143.98
"C0100019876" 457 2 378
"C0100020034" 402 13 1057.39
"C0100020376" 388 2 1108
"C0100020537" 393 1 59
"C0100023016" 515 5 146.95
"C0100023305" 618 2 183.99
"C0100023389" 746 2 128.95
"C0100023515" 605 2 73.99
"C0100023634" 526 2 308.99
"C0100023787" 652 3 75.93
"C0100024169" 433 3 592
"C0100024199" 425 4 560.99
"C0100024291" 472 6 478.91
"C0100024438" 719 2 148
"C0100024714" 392 3 1044.99
"C0100024862" 542 5 369.98
"C0100024964" 632 5 667.98
"C0100025376" 418 8 1182
"C0100025442" 431 2 188
"C0100025501" 435 3 694.98
"C0100025626" 501 3 387
"C0100025684" 627 2 188
"C0100025804" 403 18 856.29
"C0100025848" 397 5 351.94
"C0100026120" 598 3 94.98
"C0100026244" 391 3 397
"C0100026795" 576 7 529.95
"C0100026861" 392 17 532.84
"C0100027679" 401 3 1267.99
"C0100027774" 467 2 65.99
